invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,store_id,currency,sales_channel,payment_method,line_total
542776,21671,RED SPOT CERAMIC DRAWER KNOB,48,2011-02-01 08:23:00,1.25,15240.0,PH,PH-STORE-008,PHP,online,cash,60.0
542776,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2011-02-01 08:23:00,1.25,15240.0,PH,PH-STORE-008,PHP,online,cash,15.0
542776,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-02-01 08:23:00,1.25,15240.0,PH,PH-STORE-008,PHP,online,cash,15.0
542776,17013D,ORIGAMI ROSE INCENSE IN TUBE,96,2011-02-01 08:23:00,0.42,15240.0,PH,PH-STORE-008,PHP,online,cash,40.32
542776,17096,ASSORTED LAQUERED INCENSE HOLDERS,48,2011-02-01 08:23:00,0.21,15240.0,PH,PH-STORE-008,PHP,online,cash,10.08
542776,22469,HEART OF WICKER SMALL,12,2011-02-01 08:23:00,1.65,15240.0,PH,PH-STORE-008,PHP,online,cash,19.799999999999997
542776,22077,6 RIBBONS RUSTIC CHARM,12,2011-02-01 08:23:00,1.65,15240.0,PH,PH-STORE-008,PHP,online,cash,19.799999999999997
542776,79321,CHILLI LIGHTS,4,2011-02-01 08:23:00,4.95,15240.0,PH,PH-STORE-008,PHP,online,cash,19.8
542776,21843,RED RETROSPOT CAKE STAND,1,2011-02-01 08:23:00,10.95,15240.0,PH,PH-STORE-008,PHP,online,cash,10.95
542776,22835,HOT WATER BOTTLE I AM SO POORLY,4,2011-02-01 08:23:00,4.65,15240.0,PH,PH-STORE-008,PHP,online,cash,18.6
542776,22083,PAPER CHAIN KIT RETROSPOT,12,2011-02-01 08:23:00,2.95,15240.0,PH,PH-STORE-008,PHP,online,cash,35.400000000000006
542776,17021,NAMASTE SWAGAT INCENSE,36,2011-02-01 08:23:00,0.3,15240.0,PH,PH-STORE-008,PHP,online,cash,10.799999999999999
542776,21218,RED SPOTTY BISCUIT TIN,6,2011-02-01 08:23:00,3.75,15240.0,PH,PH-STORE-008,PHP,online,cash,22.5
542776,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2011-02-01 08:23:00,4.95,15240.0,PH,PH-STORE-008,PHP,online,cash,14.850000000000001
